"param","index","value"
"alpha",0,-4.58405505553158
"alpha",1,-7.28805707472416
"alpha",2,-7.69092499450753
"alpha",3,-7.77634866693112
"alpha",4,-7.85916143627191
"alpha",5,-7.9500142207708
"alpha",6,-8.01868884774181
"alpha",7,-8.10078586019182
"alpha",8,-8.2047369614898
"alpha",9,-8.21811411105266
"alpha",10,-8.25197216839704
"alpha",11,-8.31655405969479
"alpha",12,-8.30559412562982
"alpha",13,-8.19538882636762
"alpha",14,-8.01022021277111
"alpha",15,-7.59790571458884
"alpha",16,-7.42888936685576
"alpha",17,-7.27592367228809
"alpha",18,-6.97213773364382
"alpha",19,-6.936542262069
"alpha",20,-6.88947244651048
"alpha",21,-6.92176012206924
"alpha",22,-6.90599633041287
"alpha",23,-6.87730080867313
"alpha",24,-6.9254244948276
"alpha",25,-6.91405974528136
"alpha",26,-6.86773701976299
"alpha",27,-6.85513623285942
"alpha",28,-6.85335214234728
"alpha",29,-6.78766509976541
"alpha",30,-6.7409760328135
"alpha",31,-6.74398904104876
"alpha",32,-6.70083533583035
"alpha",33,-6.6563280925213
"alpha",34,-6.57635855821943
"alpha",35,-6.50731355219846
"alpha",36,-6.46172873799654
"alpha",37,-6.43444605186485
"alpha",38,-6.30420825889515
"alpha",39,-6.29288931713968
"alpha",40,-6.18906625650587
"alpha",41,-6.12501198270708
"alpha",42,-6.03363613313316
"alpha",43,-5.95067745190886
"alpha",44,-5.87892721638247
"alpha",45,-5.7669568900742
"alpha",46,-5.69108292996701
"alpha",47,-5.58606489068903
"alpha",48,-5.50611837300262
"alpha",49,-5.39499615542319
"alpha",50,-5.31630050623705
"alpha",51,-5.21254612093247
"alpha",52,-5.10548817817009
"alpha",53,-5.0172069707296
"alpha",54,-4.91154994457047
"alpha",55,-4.81362509044076
"alpha",56,-4.71084841914191
"alpha",57,-4.61255562525205
"alpha",58,-4.52903562086814
"alpha",59,-4.41136976964882
"alpha",60,-4.30876421192463
"alpha",61,-4.21352091342175
"alpha",62,-4.12049258563002
"alpha",63,-4.007600130477
"alpha",64,-3.90380626312241
"alpha",65,-3.81105299165744
